likes,comments,postAgeHours,isFollowingAuthor,source,eventType
1,0,54.65,1,following,impression
1,0,54.65,1,following,skip
1,0,54.05,1,following,impression
1,0,54.05,1,following,skip
14,2,311.43,0,trending,impression
14,2,311.43,0,trending,skip
4,3,544.43,0,exploration,impression
4,3,544.43,0,exploration,skip
19,4,726.43,0,exploration,impression
19,4,726.43,0,exploration,skip
4,2,650.43,0,trending,impression
4,2,650.43,0,trending,skip
19,6,676.43,0,exploration,impression
19,6,676.43,0,exploration,skip
4,5,39.43,0,exploration,impression
4,5,39.43,0,exploration,skip
19,1,111.43,0,trending,impression
19,1,111.43,0,trending,skip
12,2,168.43,0,trending,impression
12,2,168.43,0,trending,skip
5,3,618.43,0,exploration,impression
5,3,618.43,0,exploration,skip
13,6,85.43,0,exploration,impression
13,6,85.43,0,exploration,skip
8,2,651.43,0,exploration,impression
8,2,651.43,0,exploration,view
15,3,715.43,0,exploration,impression
15,3,715.43,0,exploration,skip
3,5,256.43,1,following,impression
3,5,256.43,1,following,skip
6,1,653.43,0,exploration,impression
6,1,653.43,0,exploration,skip
14,1,486.43,0,trending,impression
14,1,486.43,0,trending,skip
6,3,80.43,0,exploration,impression
6,3,80.43,0,exploration,view
22,1,54.43,0,exploration,impression
22,1,54.43,0,exploration,view
22,1,54.43,0,exploration,like
22,1,54.43,0,exploration,comment
15,4,522.43,0,exploration,impression
15,4,522.43,0,exploration,skip
25,6,692.43,1,following,impression
25,6,692.43,1,following,view
25,6,692.43,1,following,comment
25,6,692.43,1,following,share
6,2,499.43,0,exploration,impression
6,2,499.43,0,exploration,skip
22,5,394.43,0,trending,impression
22,5,394.43,0,trending,skip
22,6,638.43,0,exploration,impression
22,6,638.43,0,exploration,skip
24,4,715.43,0,exploration,impression
24,4,715.43,0,exploration,skip
11,4,667.43,0,exploration,impression
11,4,667.43,0,exploration,skip
10,4,160.43,1,following,impression
10,4,160.43,1,following,view
10,4,160.43,1,following,comment
7,5,440.43,0,exploration,impression
7,5,440.43,0,exploration,skip
18,6,717.43,0,trending,impression
18,6,717.43,0,trending,skip
16,1,531.43,0,exploration,impression
16,1,531.43,0,exploration,skip
10,3,723.43,0,exploration,impression
10,3,723.43,0,exploration,skip
21,7,560.43,0,exploration,impression
21,7,560.43,0,exploration,skip
9,4,723.43,0,exploration,impression
9,4,723.43,0,exploration,skip
9,1,551.43,0,exploration,impression
9,1,551.43,0,exploration,skip
7,5,606.43,1,following,impression
7,5,606.43,1,following,view
7,5,606.43,1,following,like
7,5,606.43,1,following,save
9,4,638.43,0,exploration,impression
9,4,638.43,0,exploration,skip
21,5,164.43,0,exploration,impression
21,5,164.43,0,exploration,skip
22,2,95.43,0,trending,impression
22,2,95.43,0,trending,view
22,2,95.43,0,trending,like
22,2,95.43,0,trending,comment
24,3,601.43,0,trending,impression
24,3,601.43,0,trending,skip
11,6,49.43,0,trending,impression
11,6,49.43,0,trending,skip
18,5,537.43,0,trending,impression
18,5,537.43,0,trending,skip
18,1,715.43,0,exploration,impression
18,1,715.43,0,exploration,skip
14,4,699.43,0,exploration,impression
14,4,699.43,0,exploration,view
14,4,699.43,0,exploration,like
12,4,516.43,0,trending,impression
12,4,516.43,0,trending,skip
23,1,337.43,0,exploration,impression
23,1,337.43,0,exploration,skip
10,3,575.43,0,exploration,impression
10,3,575.43,0,exploration,skip
12,6,677.43,0,exploration,impression
12,6,677.43,0,exploration,skip
4,4,92.43,0,exploration,impression
4,4,92.43,0,exploration,skip
17,7,629.43,1,following,impression
17,7,629.43,1,following,skip
17,2,496.43,0,trending,impression
17,2,496.43,0,trending,skip
7,2,474.43,0,exploration,impression
7,2,474.43,0,exploration,skip
3,5,211.43,0,exploration,impression
3,5,211.43,0,exploration,view
3,5,211.43,0,exploration,like
3,5,211.43,0,exploration,comment
3,5,211.43,0,exploration,save
9,2,478.43,0,exploration,impression
9,2,478.43,0,exploration,skip
17,2,542.43,0,exploration,impression
17,2,542.43,0,exploration,skip
9,1,47.43,1,following,impression
9,1,47.43,1,following,view
9,1,47.43,1,following,comment
6,6,426.43,0,exploration,impression
6,6,426.43,0,exploration,skip
19,5,109.43,0,trending,impression
19,5,109.43,0,trending,skip
15,6,297.43,0,exploration,impression
15,6,297.43,0,exploration,skip
7,3,282.43,0,exploration,impression
7,3,282.43,0,exploration,skip
24,6,226.43,0,exploration,impression
24,6,226.43,0,exploration,skip
16,3,462.43,0,exploration,impression
16,3,462.43,0,exploration,skip
17,1,355.43,0,exploration,impression
17,1,355.43,0,exploration,skip
19,1,296.43,0,exploration,impression
19,1,296.43,0,exploration,view
19,1,296.43,0,exploration,comment
19,1,296.43,0,exploration,save
9,2,37.43,0,exploration,impression
9,2,37.43,0,exploration,skip
9,5,53.43,0,exploration,impression
9,5,53.43,0,exploration,skip
9,4,288.43,0,exploration,impression
9,4,288.43,0,exploration,skip
17,2,350.43,0,exploration,impression
17,2,350.43,0,exploration,skip
12,4,649.43,0,exploration,impression
12,4,649.43,0,exploration,skip
22,6,327.43,0,trending,impression
22,6,327.43,0,trending,skip
21,2,730.43,0,trending,impression
21,2,730.43,0,trending,skip
10,6,502.43,0,trending,impression
10,6,502.43,0,trending,skip
24,4,226.43,0,exploration,impression
24,4,226.43,0,exploration,skip
9,6,652.43,0,exploration,impression
9,6,652.43,0,exploration,skip
